dateUnix,dateIso,kgPrice,quantity
1491602400,7/4/2017,10.90000052,3000
1491775200,9/4/2017,10.62305296,1000
1491775200,9/4/2017,13.06909338,2000
1491775200,9/4/2017,13.06909338,2000
1491775200,9/4/2017,12.99121682,1000
1491775200,9/4/2017,13.14117679,1000
1491861600,10/4/2017,15.01536864,1500
1492034400,12/4/2017,11.83549144,2000
1492034400,12/4/2017,11.83490732,2000
1492034400,12/4/2017,10.46163318,3000
1492034400,12/4/2017,11.83315498,2000
1492207200,14-04-17,10.748,200
1492380000,16-04-17,9.976635515,4000
1492380000,16-04-17,11.74454829,1000
1492380000,16-04-17,10.50103842,6000
1492380000,16-04-17,16.97819315,100
1492552800,18-04-17,10.5545,16000
1492552800,18-04-17,11.00900002,4250
1492552800,18-04-17,10.5545,16000
1492552800,18-04-17,10.27258567,2000
1492639200,19-04-17,10.24922119,2000
1492639200,19-04-17,10.797,1000
1492725600,20-04-17,11.45653877,2000
1492725600,20-04-17,9.897677506,8000
1492725600,20-04-17,10.08762167,6000
1492812000,21-04-17,14.43437745,1000
1492984800,23-04-17,11.7056751,2000
1492984800,23-04-17,11.95000039,2000
1492984800,23-04-17,11.82725998,1000
1492984800,23-04-17,12.35,200
1492984800,23-04-17,12.5,700
1492984800,23-04-17,10.99741331,3000
1493071200,24-04-17,10.11401232,3000
1493071200,24-04-17,9.719321013,3000
1493157600,25-04-17,10.5545,16000
1493244000,26-04-17,10.90000047,3000
1493244000,26-04-17,13.58001715,2000
1493330400,27-04-17,31,350
1493330400,27-04-17,15.91801144,2000
1493330400,27-04-17,14.43437745,1000
1493416800,28-04-17,11.94059797,2000
1493416800,28-04-17,10.5545,16000
1493416800,28-04-17,17.82544244,1500
1493503200,29-04-17,13.12,3985
1493503200,29-04-17,11.36735501,4000
1493503200,29-04-17,9.897676663,6000
1493589600,30-04-17,9.805140016,4000
1493589600,30-04-17,11.30337666,3000
1493589600,30-04-17,10.22196669,3000
1493589600,30-04-17,10.02202005,1000
1493589600,30-04-17,11.30498003,2000
1493676000,1/5/2017,11.45001096,200
1493676000,1/5/2017,11.5,4000
1493676000,1/5/2017,12.34999896,300
1493676000,1/5/2017,12.79483764,3000
1493676000,1/5/2017,12.79483764,3000
1493676000,1/5/2017,12.79483764,3000
1493762400,2/5/2017,12.84182276,3000
1493762400,2/5/2017,14.90654279,700
1493762400,2/5/2017,13.8613065,3000
1493762400,2/5/2017,14.4007502,1000
1493762400,2/5/2017,12.927387,1500
1493762400,2/5/2017,12.79483764,3000
1493762400,2/5/2017,12.78439718,2500
1493762400,2/5/2017,12.84182276,3000
1493762400,2/5/2017,199.1709162,20
1493848800,3/5/2017,11.53128076,200
1493935200,4/5/2017,10.32750849,2920.58
1494021600,5/5/2017,9.771,5000
1494021600,5/5/2017,11.042,2000
1494021600,5/5/2017,12.79446709,3000
1494021600,5/5/2017,10.10252366,2000
1494021600,5/5/2017,12.8417857,3000
1494021600,5/5/2017,10.954,4000
1494021600,5/5/2017,10.05,3200
1494021600,5/5/2017,11.75,375
1494021600,5/5/2017,12.8417857,3000
1494194400,7/5/2017,10.44755,2000
1494194400,7/5/2017,20.97939716,1000
1494194400,7/5/2017,15.39643502,2000
1494194400,7/5/2017,13.9810071,1000
1494194400,7/5/2017,10.05,3200
1494194400,7/5/2017,16.18074259,1000
1494194400,7/5/2017,10.39366427,4000
1494194400,7/5/2017,10.39751669,1200
1494194400,7/5/2017,15.22697766,20000
1494194400,7/5/2017,10.39751242,800
1494194400,7/5/2017,10.08762252,4000
1494280800,8/5/2017,12.8417857,3000
1494280800,8/5/2017,10.85173502,1000
1494280800,8/5/2017,13.52996845,500
1494453600,10/5/2017,12.85569138,4800
1494453600,10/5/2017,12.50000088,900
1494453600,10/5/2017,12.79446709,3000
1494453600,10/5/2017,10.34751667,3000
1494453600,10/5/2017,12.79446709,3000
1494453600,10/5/2017,11.75,375
1494453600,10/5/2017,12.65,2000
1494453600,10/5/2017,10.397585,8000
1494540000,11/5/2017,9.848,6000
1494540000,11/5/2017,11.3477,2000
1494540000,11/5/2017,11.3477,1000
1494540000,11/5/2017,13.44990536,250
1494712800,13-05-17,10.56782334,2500
1494799200,14-05-17,9.897676242,8000
1494799200,14-05-17,14.89654451,900
1494799200,14-05-17,9.897676242,8000
1494799200,14-05-17,14.90655298,850
1494799200,14-05-17,10.30761002,4000
1494885600,15-05-17,27.96747371,60
1494885600,15-05-17,10.61957683,16000
1494885600,15-05-17,35.00004206,15
1494885600,15-05-17,24.97092534,15
1494885600,15-05-17,24.99997897,15
1494885600,15-05-17,34.95936909,15
1494885600,15-05-17,24.99999737,60
1494885600,15-05-17,12.79446709,3000
1494885600,15-05-17,28.00000789,60
1494885600,15-05-17,24.970949,60
1494972000,16-05-17,9.919135647,2000
1494972000,16-05-17,9.919135647,2000
1494972000,16-05-17,14.3533123,500
1494972000,16-05-17,12.79446709,3000
1494972000,16-05-17,10.66913565,2000
1494972000,16-05-17,17.38433228,150
1494972000,16-05-17,13.41803068,2000
1495058400,17-05-17,15.82144969,50
1495058400,17-05-17,10.96540881,10000
1495144800,18-05-17,14.21527359,500
1495144800,18-05-17,9.848,8000
1495144800,18-05-17,12.25,900
1495144800,18-05-17,11.3477,3000
1495144800,18-05-17,11.26451866,1500
1495144800,18-05-17,9.748427673,9000
1495144800,18-05-17,10.5926,5000
1495144800,18-05-17,9.905660377,3000
1495144800,18-05-17,11.3477,4000
